kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
PASK,43.79453006134976,45.66733987730063,-1.8728098159508662,CAMK,4075
DCAMKL2,51.01084662576684,52.862412269938574,-1.8515656441717354,CAMK,4075
BRSK1,41.74994846625777,43.538294478527675,-1.7883460122699049,CAMK,4075
MEK1,53.72830674846619,55.504792638036776,-1.776485889570587,STE,4075
PKN2,49.6986650306749,51.45759018404915,-1.7589251533742498,AGC,4075
ALK4,49.84968098159511,51.57660368098155,-1.7269226993864422,TKL,4075
NDR1,42.15303312883433,43.86596073619641,-1.712927607362083,AGC,4075
CDK2,38.84580122699399,40.54327852760736,-1.6974773006133717,CMGC,4075
MLK3,63.44489570552145,65.12247852760737,-1.6775828220859168,TKL,4075
IKKE,47.96995092024544,49.638213496932494,-1.6682625766870558,Other,4075
MARK1,47.25733006134969,48.91671165644167,-1.659381595091979,CAMK,4075
MINK,64.96568834355828,66.61328098159497,-1.6475926380366843,STE,4075
TSSK3,38.38713865030661,40.03226012269943,-1.645121472392816,CAMK,4075
VRK2,66.02608588957091,67.60397546012267,-1.5778895705517613,CK1,4075
NUAK1,46.242667484662704,47.816591411042864,-1.5739239263801608,CAMK,4075
STLK3,67.97936932515331,69.5042184049079,-1.5248490797545884,STE,4075
MAPKAPK2,41.94211042944792,43.44989693251531,-1.5077865030673863,CAMK,4075
STK33,59.0551828220858,60.489769325153496,-1.434586503067699,CAMK,4075
CAMK1A,50.197415950920366,51.631703067484644,-1.4342871165642777,CAMK,4075
GSK3A,30.460922699386554,31.8936613496933,-1.4327386503067459,CMGC,4075
PRPK,43.0753177914111,44.495403680981696,-1.4200858895705935,Other,4075
RSK2,38.205965644171705,39.60157300613501,-1.3956073619633074,AGC,4075
MARK3,45.20216196319023,46.59240736196319,-1.3902453987729615,CAMK,4075
SMMLCK,50.274736196319,51.66040245398752,-1.3856662576685252,CAMK,4075
LATS1,32.429499386503124,33.797406134969286,-1.3679067484661616,AGC,4075
CAMK1B,40.14798773006133,41.48402944785263,-1.3360417177912964,CAMK,4075
NDR2,36.880768098159585,38.20553865030674,-1.3247705521471573,AGC,4075
P70S6KB,40.931862576687,42.24710674846628,-1.3152441717792769,AGC,4075
MYO3A,64.40951411042948,65.67660368098169,-1.2670895705522014,STE,4075
TSSK4,43.67838282208591,44.94461349693246,-1.266230674846554,CAMK,4075
KHS2,55.71148466257666,56.947842944785215,-1.2363582822085561,STE,4075
SNRK,55.61714846625768,56.82993619631897,-1.2127877300612866,CAMK,4075
PKCT,55.707121472392494,56.873563190184,-1.166441717791507,AGC,4075
CLK2,25.47960981595095,26.622039263803675,-1.1424294478527237,CMGC,4075
MEK5,60.62324417177935,61.72370552147247,-1.10046134969312,STE,4075
CHK1,48.97641226993867,50.0604687116565,-1.0840564417178271,CAMK,4075
MARK2,47.29596564417186,48.379001226993864,-1.0830355828220064,CAMK,4075
WNK2,47.33327116564415,48.376088343558294,-1.042817177914145,Other,4075
SRPK3,29.31220368098158,30.302907975460176,-0.9907042944785971,CMGC,4075
CAMKK2,65.54581104294496,66.5197202453986,-0.9739092024536404,Other,4075
DCAMKL1,53.07501104294506,54.04177914110444,-0.9667680981593847,CAMK,4075
CDK1,34.239879754601226,35.164068711656384,-0.9241889570551578,CMGC,4075
NEK2,63.64938404907981,64.57317546012284,-0.9237914110430268,Other,4075
P90RSK,40.944184049079624,41.86163926380383,-0.9174552147242068,AGC,4075
MRCKA,50.577715337423314,51.4416171779141,-0.863901840490783,AGC,4075
PHKG2,53.88201472392627,54.74348957055204,-0.8614748466257751,CAMK,4075
PIM2,42.16079509202453,42.98760736196323,-0.8268122699386993,CAMK,4075
